cardName,pointsOrPercentage,bonus,airbnbAndHotels,carRental,departmentStores,dining,gas,generalPurchases,groceries,pharmacies,phoneInternetCable,rideshare,streaming,transit,travel,wholesale,onlineRetail,doordash,instacart,ubereats,grubhub,wine.com,cheesecakeFactory,goldbelly,digitalCredits,walmart+,airlineIncidentalFee,uber,equinoxCredits,drugStores,digitalWallets,amazon,target,restaurants
American Express Blue Cash Everyday,Percentage,,1.00%,1.00%,"{""limit"": 6000, ""cashback"": 3, ""cashbackAfterLimit"": 1}",1.00%,"{""limit"": 6000, ""cashback"": 3, ""cashbackAfterLimit"": 1}",1.00%,"{""limit"": 6000, ""cashback"": 3, ""cashbackAfterLimit"": 1}",1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,"{""limit"": 6000, ""cashback"": 3, ""cashbackAfterLimit"": 1}",,,,,,,,,,,,,,,,,
American Express Blue Cash Preferred,Percentage,"{""bonus"": 250, type:""cashback"", minSpend: 3000, ""timeLimit"": 6 months}",1.00%,1.00%,"{""limit"": 6000, ""cashback"": 6, ""cashbackAfterLimit"": 1}",1.00%,6.00%,1.00%,"{""limit"": 6000, ""cashback"": 6}",1.00%,1.00%,1.00%,6.00%,3.00%,1.00%,1.00%,,,,,,,,,,,,,,,,,,
American Express Gold Card,Points,"{""bonus"": 75000, ""type"": ""points"",minSpend: 4000, ""timeLimit"": 6 months}",1.00%,1.00%,1.00%,4.00%,1.00%,1.00%,4.00%,1.00%,1.00%,1.00%,1.00%,1.00%,3.00% flights (booked with airlines or on amextravel),1.00%,1.00%,,,"{""credit"": 10, ""frequency"": ""monthly""}","{""credit"": 10, ""frequency"": ""monthly""}","{""credit"": 10, ""frequency"": ""monthly""}","{""credit"": 10, ""frequency"": ""monthly""}","{""credit"": 10, ""frequency"": ""monthly""}","{""credit"": 10, ""frequency"": ""monthly""}",,,,,,,,,
American Express Platinum Card,,,5.00% hotels (prepaid on amextravel),1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,5.00% flights (booked with airlines or on amextravel),1.00%,,,,,,,,,"{""credit"": 20, ""frequency"": ""monthly""}","{""credit"": 12.95, ""frequency"": ""monthly""}",200,200,300,,,,,
American Express Green Card,Points,,,,,3.00%,1.00%,,1.00%,,,,1.00%,1.00%,3.00% flights (booked with airlines or on amextravel),,1.00%,,,,,,,,,,,,,,,,,
Amex EveryDay Credit Card,Points,,,,,2.00%,1.00%,,2.00%,,,,1.00%,1.00%,1.00% flights (booked with airlines or on amextravel),,1.00%,,,,,,,,,,,,,,,,,
Cash Magnet Card,Percentage,,,,,1.50%,1.50%,,1.50%,,,,1.50%,1.50%,1.50% flights (booked with airlines or on amextravel),,1.50%,,,,,,,,,,,,,,,,,
Chase Freedom Flex,Percentage,"{""bonus"": 200, type:""cashback"", minSpend: 500, ""timeLimit"": 3 months}",1.0% (5.0% if purchased through Chase Ultimate rewards),1.0% (5.0% if purchased through Chase Ultimate rewards),1.00%,3.00%,5% (through June 30 2021),1.00% (5.0% home improvement through Jun 30 2021),1.00%,3.00%,1.00%,1.00% (5.0% if on Lyft),1.00%,1.00%,5.00% (when purchased through Chase Ultimate rewards),1.00%,,"{""introOffer"": ""3 months free, 50% Discounted DashPass 9 months""}","{""introOffer"" : ""3 months"", ""credit"": 10, ""frequency"":""quarterly""}",,,,,,,,,,,,,,,
Chase Freedom Unlimited,Percentage,"{""bonus"": 250, type:""cashback"", minSpend: 500, ""timeLimit"": 3 months}",1.5% (5.0% if purchased through Chase Ultimate rewards),1.5% (5.0% if purchased through Chase Ultimate rewards),1.50%,3.00%,1.50%,1.50%,1.50%,3.00%,1.50%,1.50%,1.50%,1.50%,5.00% (when purchased through Chase Ultimate rewards),1.50%,1.50%,"{""introOffer"": ""3 months free, 50% Discounted DashPass 9 months""}","{""introOffer"" : ""3 months"", ""credit"": 10, ""frequency"":""quarterly""}",,,,,,,,,,,,,,,
Chase Ink Business Cash,Points,"{""bonus"": 900, type:""cashback"", minSpend: 6000, ""timeLimit"": 3 months}",1.00%,1.00%,1.00%,2.00%,2.00%,1% (5.0% on office supply stores),1.00%,1.00%,5.00%,1% (5% if Lyft),1.00%,1.00%,1.00%,1.00%,,,,,,,,,,,,,,,,,,"{""limit"": 25000, ""cashback"": 2, ""cashbackAfterLimit"": 1, ""Period"": Yearly}"
Chase Sapphire Preferred,Points,"{""bonus"": 60000, ""type"":""points"", minSpend: 4000, ""timeLimit"": 3 months}",2.00%,2.00%,2.00%,3.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.00% (5.0% if on Lyft),3.00%,2.00%,2.00%,1.00%,,"{""introOffer"": ""12 months""}","{""introOffer"" : ""6 months"", ""credit"": 15, ""frequency"":""quarterly""}",,,,,,,,,,,,,,,
Chase Sapphire Reserve,Points,"{""bonus"": 60000, ""type"":""points"", minSpend: 4000, ""timeLimit"": 3 months}","{""introOffer"": 300, ""cashback"": 10.00%}","{""introOffer"": 300, ""cashback"": 10.00%}",1.00%,3.00%,1.00%,1.00%,1.00%,1.00%,1.00%,3.00% (10.0% if on Lyft),1.00%,3.00%,"{""introOffer"": 300, ""cashback"": 5.00%}",1.00%,,"{""introOffer"": ""12 months"", ""credit"":5, ""frequency"":""monthly""}","{""introOffer"" : ""6 months"", ""credit"": 15, ""frequency"":""quarterly""}",,,,,,,,,,,,,,,
Discover it Cash Back,Percentage,"{""bonus"": cashback * 2, ""type"":""cashback"", minSpend: 0, maxSpend: ""unlimited"", ""timeLimit"": 12 months}",1.00%,1.00%,1%,1%,"{""cashback"": 5, ""timePeriod"": ""Jul-Sep"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": ""AffiliatedStations""}",1%,"{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""Target"", ""Walmart"", ""ConvenienceStores"", ""WholesaleClubs"", ""DiscountStores"", and ""Supercenters""]}","{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""Target"", ""Walmart"", ""ConvenienceStores"", ""WholesaleClubs"", ""DiscountStores"", and ""Supercenters""]}",1%,1%,"{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""StreamingServiceAddOns"", ""ThirdPartyPayments""]}",1%,1%,"{""cashback"": 5, ""timePeriod"": ""Apr-Jun"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""WholesaleClubServices"", ""StoresWithin""]}",,,,,,,,,,,,,,"{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""Target"", ""Walmart"", ""ConvenienceStores"", ""WholesaleClubs"", ""DiscountStores"", and ""Supercenters""]}","{""cashback"": 5, ""timePeriod"": ""Jul-Sep"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": ""InsufficientTransactionInfo""}","{""cashback"": 5, ""timePeriod"": ""Oct-Dec"", ""maxSpend"": 1500, ""afterMaxCashback"": 1}","{""cashback"": 5, ""timePeriod"": ""Jul-Sep"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""InStoreMerchants"", ""AppPurchases"", ""TargetAffiliates""]}","{""cashback"": 5, ""timePeriod"": ""Apr-Jun"", ""maxSpend"": 1500, ""afterMaxCashback"": 1}"
Discover Student Cash Back ,Percentage,"{""bonus"": cashback * 2, ""type"":""cashback"", minSpend: 0, maxSpend: ""unlimited"", ""timeLimit"": 12 months}",1.00%,1.00%,1%,1%,"{""cashback"": 5, ""timePeriod"": ""Jul-Sep"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": ""AffiliatedStations""}",1%,"{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""Target"", ""Walmart"", ""ConvenienceStores"", ""WholesaleClubs"", ""DiscountStores"", and ""Supercenters""]}","{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""Target"", ""Walmart"", ""ConvenienceStores"", ""WholesaleClubs"", ""DiscountStores"", and ""Supercenters""]}",1%,1%,"{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""StreamingServiceAddOns"", ""ThirdPartyPayments""]}",1%,1%,"{""cashback"": 5, ""timePeriod"": ""Apr-Jun"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""WholesaleClubServices"", ""StoresWithin""]}",,,,,,,,,,,,,,"{""cashback"": 5, ""timePeriod"": ""Jan-Mar"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""Target"", ""Walmart"", ""ConvenienceStores"", ""WholesaleClubs"", ""DiscountStores"", and ""Supercenters""]}","{""cashback"": 5, ""timePeriod"": ""Jul-Sep"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": ""InsufficientTransactionInfo""}","{""cashback"": 5, ""timePeriod"": ""Oct-Dec"", ""maxSpend"": 1500, ""afterMaxCashback"": 1}","{""cashback"": 5, ""timePeriod"": ""Jul-Sep"", ""maxSpend"": 1500, ""afterMaxCashback"": 1, ""exclusions"": [""InStoreMerchants"", ""AppPurchases"", ""TargetAffiliates""]}","{""cashback"": 5, ""timePeriod"": ""Apr-Jun"", ""maxSpend"": 1500, ""afterMaxCashback"": 1}"
Discover Secured,Percentage,"{""bonus"": cashback * 2, ""type"":""cashback"", minSpend: 0, maxSpend: ""unlimited"", ""timeLimit"": 12 months}",1.00%,1.00%,1.00%,1.00%,"{""limit"": 1000, ""cashback"": 2, ""cashbackAfterLimit"": 1, ""Period"": Quarterly}",1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,,,,,,,1.00%,,,,,,"{""limit"": 1000, ""cashback"": 2, ""cashbackAfterLimit"": 1, ""Period"": Quarterly}"
Discover Gas & Restaurants,Percentage,"{""bonus"": cashback * 2, ""type"":""cashback"", minSpend: 0, maxSpend: ""unlimited"", ""timeLimit"": 12 months}",1.00%,1.00%,1.00%,1.00%,"{""limit"": 1000, ""cashback"": 2, ""cashbackAfterLimit"": 1, ""Period"": Quarterly}",1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,,,,,,,1.00%,,,,,,"{""limit"": 1000, ""cashback"": 2, ""cashbackAfterLimit"": 1, ""Period"": Quarterly}"